record_id,study_no,cohort_id,dedup_group,title,author,doi,t_publication,source_database,time,time_start,time_end,country,province,city,county,region,latitude,longitude,population,population_group,recruit_crowd,population_desc,classification_rule,age,age_mean,height,weight,bmi,male_n,female_n,gender,flag_occupational,flag_disease,flag_endemic_area,flag_mixed_occupational,inclusion_decision,exclusion_reason,sample_type,blood_matrix,flag_blood_matrix,analyte,analyte_species,detection_method,qc_reported,stat_type,initial_gm,initial_mean,initial_sd,initial_median,initial_p25,initial_p75,initial_p05,initial_p95,initial_min,initial_max,initial_gsd,unit_original,sample_size,adjusted,unit_final,gm_summary,gsd_summary,conversion_path,conversion_params,inferred_flags,notes,extracted_by,verified,verified_by,snapshot_tag,row_hash
R00001,S001,,,EXAMPLE-Study-001 urinary arsenic in adults,EXAMPLE-Author-A,10.xxxx/EXAMPLE-001,2020,PubMed,2018,2017,2019,China,云南省,示例市,,Southwest,,,一般成年人,Adults,社区,多阶段分层抽样,18 岁及以上常住居民,18-75,,,,,600,600,Both,FALSE,FALSE,FALSE,FALSE,Include,,Urine,,,As,Total,ICP-MS,TRUE,GM_GSD,23.50,,,,,,,,,,2.10,ug/g Cr,1200,Creatinine,ug/g Cr,23.50,2.10,reported_GM,,,原文直接报告 GM 与 GSD（零推断子集的成员）,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0001
R00002,S002,,,"EXAMPLE-Study-002 urinary metals, school children",EXAMPLE-Author-B,10.xxxx/EXAMPLE-002,2019,CNKI,2016,2016,2017,China,贵州省,示例市,,Southwest,,,学龄儿童,Minors,学校,整班抽样的在校学生,8-12 岁在校学生,8-12,,,,,220,205,Both,FALSE,FALSE,TRUE,FALSE,Include,,Urine,,,As,Total,HG-AAS,FALSE,AM_SD,,31.20,12.40,,,,,,,,,ug/L,450,No,ug/g Cr,28.86,1.44,AM_SD→AMSD_to_LN→ug/L→ICRP89_Minors→ug/g Cr→GM,AM=31.20;SD=12.40;CV=0.397;group=Minors;CE=0.925;V=1.05;CC=0.815;path=CC_direct,gm_from_mean_sd;unit_converted_creatinine;coarse_age,原文为 μg/L 未校正；地方病区人群，已进 GATE-2 疑似清单（示例）,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0002
R00003,S003,,,"EXAMPLE-Study-003 urinary arsenic, cross-sectional",EXAMPLE-Author-C,10.xxxx/EXAMPLE-003,2018,Wanfang,2015,,,China,山东省,示例市,,East,,,成年人,Adults,医院体检,,,20-60,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,Urine,,,As,Total,ICP-MS,TRUE,Median_IQR,,,,18.40,11.20,29.60,,,,,,ug/g Cr,,Creatinine,ug/g Cr,18.40,,Median_IQR→Median_as_GM→GM,strategy=as_gm;n=NA;configured=standardization.median_to_gm_strategy,gm_from_median;gm_from_iqr,原文未给亚组样本量（仅报告总样本量）→ sample_size 留空,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0003
R00004,S004,,,"EXAMPLE-Study-004 urinary metals, specific gravity",EXAMPLE-Author-D,10.xxxx/EXAMPLE-004,2017,PubMed,2014,,,China,广东省,示例市,,South,,,成年人,Adults,社区,,,18-70,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,Urine,,,As,Total,ICP-MS,TRUE,GM_GSD,12.66,,,,,,,,,,1.90,ug/L,800,SpecificGravity,ug/L,12.66,1.90,specific_gravity_reported,,,原文用比重校正（未套 ICRP）→ 进『校正方式』敏感性分层,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0004
R00005,S005,,,EXAMPLE-Study-005 blood arsenic in adults,EXAMPLE-Author-E,10.xxxx/EXAMPLE-005,2021,PubMed,2019,,,China,北京市,示例市,,North,,,成年人,Adults,医院体检,,,25-65,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,Blood,WholeBlood,,As,Total,ICP-MS,TRUE,AM_SD,,2.72,0.90,,,,,,,,,ug/L,800,NotApplicable,ug/L,2.58,1.38,AM_SD→AMSD_to_LN→GM,AM=2.72;SD=0.90;CV=0.331,gm_from_mean_sd,,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0005
R00006,S006,,,"EXAMPLE-Study-006 serum arsenic, pregnant women",EXAMPLE-Author-F,10.xxxx/EXAMPLE-006,2020,CNKI,2018,,,China,江苏省,示例市,,East,,,孕妇,Pregnant,医院体检,产检孕妇,单胎妊娠 12-16 周,,28.5,162.0,60.0,22.9,,400,Female,FALSE,FALSE,FALSE,FALSE,Pending,,Blood,Serum,TRUE,As,Total,ICP-MS,TRUE,Median_IQR,,,,1.85,1.20,2.80,,,,,,ug/L,400,NotApplicable,ug/L,1.85,,Median_IQR→Median_as_GM→GM,,gm_from_median;gm_from_iqr;blood_matrix_assumed,标题含 serum，正文未明确全血 → flag_blood_matrix=TRUE，待 GATE-2 裁决,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0006
R00007,S007,,,"EXAMPLE-Study-007 cord blood arsenic, newborns",EXAMPLE-Author-G,10.xxxx/EXAMPLE-007,2019,PubMed,2016,,,China,上海市,示例市,,East,,,新生儿,Minors,出生队列,出生队列新生儿,,0,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,CordBlood,,,As,Total,ICP-MS,TRUE,GM_only,4.89,,,,,,,,,,,ug/L,500,NotApplicable,ug/L,4.89,,reported_GM,,,脐血记录：EDI 不计算（方案 A，标 cordblood_edi_skipped）,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0007
R00008,S008,,,"EXAMPLE-Study-008 urinary arsenic, nmol/L reported",EXAMPLE-Author-H,10.xxxx/EXAMPLE-008,2016,WebOfScience,2013,,,China,湖北省,示例市,,Central,,,成年人,Adults,社区,,,18-80,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,Urine,,,As,Total,ICP-MS,TRUE,GM_only,267.0,,,,,,,,,,,nmol/L,600,No,ug/g Cr,15.27,,nmol/L→ug/L→ICRP89_Adults→ug/g Cr,MW=74.92;formula=value*MW/1000;factor=0.07492;group=Adults;CC=0.964,molar_conversion;unit_converted_creatinine,原文用摩尔单位，换算引入形态/摩尔质量假设（MW=74.92 按元素砷）,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0008
R00009,S009,,,EXAMPLE-Study-009 urinary metals in smelter workers,EXAMPLE-Author-I,10.xxxx/EXAMPLE-009,2015,CNKI,2012,,,China,湖南省,示例市,,Central,,,冶炼厂工人,Adults,职业人群,,,20-55,,,,,,,Both,TRUE,FALSE,FALSE,FALSE,Pending,,Urine,,,As,Total,HG-AAS,FALSE,GM_GSD,58.30,,,,,,,,,,2.40,ug/g Cr,320,Creatinine,ug/g Cr,58.30,2.40,reported_GM,,,疑似职业暴露 → flag_occupational=TRUE，inclusion_decision=Pending（AI 不得自行排除）,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0009
R00010,S010,,,"EXAMPLE-Study-010 urinary arsenic, median only",EXAMPLE-Author-J,NO_DOI,2014,Wanfang,2011,,,China,吉林省,示例市,,Northeast,,,成年人,Adults,疾控监测,,,18-70,,,,,,,Both,FALSE,FALSE,FALSE,FALSE,Include,,Urine,,,As,Total,Unknown,FALSE,Median_only,,,,18.89,,,,,,,,ug/L,450,No,,,,Median_only→FAILED,,,只有中位数、无任何离散度信息 → 该记录本质上不可合并；须计入局限说明,AI+Human,TRUE,EXAMPLE-Verifier,As_EXAMPLE,EX0010
