stratum,sample_type,period,region,province,population_group,gm,gsd,record_count,study_count,total_sample_size,max_weight_share,note
Blood | 2001-2010 | North | 北京市,Blood,2001-2010,North,北京市,,2.720000,1.000000,1,1,600,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Blood | 2011-2020 | North | 北京市,Blood,2011-2020,North,北京市,,4.240000,1.000000,1,1,400,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Blood | 2011-2020 | Southwest | 云南省,Blood,2011-2020,Southwest,云南省,,3.910000,1.000000,1,1,300,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Blood | 2021-2024 | East | 山东省,Blood,2021-2024,East,山东省,,1.390000,1.000000,1,1,1180,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
CordBlood | 2011-2020 | East | 江苏省,CordBlood,2011-2020,East,江苏省,,4.890000,1.000000,1,1,500,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 1980-2000 | Southwest | 云南省,Urine,1980-2000,Southwest,云南省,,38.095174,1.191065,3,3,1800,0.5556,not_stratified; 单记录权重占比 56% > 30%，需敏感性分析
Urine | 1980-2000 | Southwest | 贵州省,Urine,1980-2000,Southwest,贵州省,,32.580000,1.000000,1,1,500,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 2001-2010 | East | 山东省,Urine,2001-2010,East,山东省,,12.450000,1.000000,1,1,800,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 2011-2020 | East | 上海市,Urine,2011-2020,East,上海市,,27.662244,1.002569,2,2,100100,0.9990,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 2011-2020 | North | 北京市,Urine,2011-2020,North,北京市,,8.870000,1.000000,1,1,700,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 2011-2020 | Southwest | 贵州省,Urine,2011-2020,Southwest,贵州省,,39.030000,1.000000,1,1,900,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
Urine | 2021-2024 | East | 山东省,Urine,2021-2024,East,山东省,,23.520000,1.000000,1,1,500,1.0000,not_stratified; 记录数 < 3，解释谨慎; 单记录权重占比 100% > 30%，需敏感性分析
